Word,Count
yield,15
grey,15
heaving,15
latitudes,15
critical,15
torn,15
flag,15
II,15
additional,15
compass,15
irons,15
spine,15
cunning,15
pumps,15
tackles,15
it.”,15
blacksmith,15
OF,14
THE,14
Whaling,14
public,14
immediately,14
sixty,14
whereas,14
fly,14
moving,14
towing,14
equal,14
London,14
colour,14
mariner,14
wish,14
capture,14
points,14
leaping,14
indirectly,14
returned,14
streets,14
holy,14
oceans,14
phantom,14
lungs,14
officer,14
Ah,14
States,14
tormented,14
nay,14
bag,14
quarter,14
meant,14
faces,14
pulpit,14
corner,14
glass,14
window,14
plenty,14
careful,14
shadows,14
entered,14
wrinkled,14
mounted,14
considered,14
spoke,14
continued,14
dry,14
moved,14
What’s,14
keeping,14
My,14
child,14
remember,14
closely,14
ages,14
inch,14
glided,14
events,14
character,14
worth,14
behold,14
laugh,14
hue,14
seek,14
whence,14
canvas,14
marble,14
thine,14
grew,14
immortal,14
unseen,14
continual,14
doom,14
opening,14
written,14
need,14
locked,14
wound,14
pointing,14
silently,14
reach,14
shake,14
gained,14
asked,14
foam,14
leak,14
direction,14
carrying,14
food,14
effect,14
books,14
barrels,14
Yojo,14
god,14
rushing,14
She,14
kings,14
chased,14
foe,14
perceived,14
deemed,14
intent,14
Stand,14
darting,14
firm,14
terrific,14
row,14
binnacle,14
lifted,14
customary,14
simultaneously,14
latter,14
occasionally,14
ring,14
minds,14
contact,14
blind,14
Great,13
gay,13
swallowed,13
quantity,13
secure,13
ponderous,13
proceed,13
rock,13
rolls,13
utterly,13
lead,13
belonged,13
probably,13
hit,13
throw,13
lads,13
money,13
city,13
extreme,13
reaching,13
sense,13
sweep,13
other’s,13
paid,13
United,13
partly,13
Be,13
measure,13
carved,13
fingers,13
resolved,13
joy,13
private,13
Still,13
calmly,13
cool,13
big,13
lighted,13
tore,13
spoken,13
chanced,13
honest,13
pulled,13
coward,13
idol,13
sprang,13
subsequent,13
piled,13
shook,13
dog,13
signs,13
lo,13
slightly,13
departed,13
gain,13
planted,13
theirs,13
notice,13
buried,13
wrinkles,13
Jonah’s,13
opinion,13
cries,13
sooner,13
eager,13
leaned,13
greater,13
